name,nodes,edges,time,result_set,result_w
SoA heuristic,4000,6000,0.0030220000189729035,399,197889.14983098287
MMG,4000,6000,0.7791335000074469,399,197889.14983098287
SoA heuristic,4020,6030,0.0031740000122226775,397,198266.3487868016
MMG,4020,6030,0.740325299964752,397,198266.3487868016
SoA heuristic,4040,6060,0.0028918999596498907,415,207908.1663726836
MMG,4040,6060,0.8752331999712624,415,207908.1663726836
SoA heuristic,4080,6120,0.003599200048483908,428,216571.638634527
MMG,4080,6120,0.9938535999972373,428,216571.638634527
SoA heuristic,4120,6180,0.00912530004279688,423,216674.92400186142
MMG,4120,6180,1.0357743999920785,423,216674.92400186142
SoA heuristic,4200,6300,0.0031969999545253813,420,218515.35858152158
MMG,4200,6300,0.8996918000048026,420,218515.35858152158
SoA heuristic,4240,6360,0.0030320999794639647,428,225135.27804140042
MMG,4240,6360,1.0332220999989659,428,225135.27804140042
SoA heuristic,4400,6600,0.008118600002489984,421,229512.96223913287
MMG,4400,6600,1.037166599999182,421,229512.96223913287
SoA heuristic,4600,6900,0.004198700014967471,470,268629.2421606976
MMG,4600,6900,1.0821359000401571,470,268629.2421606976
