name,nodes,edges,time,result_set,result_w
SoA heuristic,8000,12000,0.009487200004514307,920,1045.6456362604204
MMG,8000,12000,2.9822831000201404,799,1105.857693195986
SoA heuristic,8020,12030,0.048886100004892796,927,1093.9705274720354
MMG,8020,12030,3.00692389998585,803,1099.8785248176914
SoA heuristic,8040,12060,0.009510700008831918,920,1030.1311952374253
MMG,8040,12060,3.0458930999739096,799,1076.4876690511305
SoA heuristic,8080,12120,0.009437599976081401,912,1013.0953678755986
MMG,8080,12120,2.982326199999079,785,1055.070770464611
SoA heuristic,8120,12180,0.009496199956629425,913,1054.2438369397012
MMG,8120,12180,3.0879088999936357,787,1092.7412783659388
SoA heuristic,8200,12300,0.04734960000496358,945,1134.278694431526
MMG,8200,12300,3.034200599999167,805,1144.6388194424744
SoA heuristic,8240,12360,0.010017700027674437,939,1074.4986187968
MMG,8240,12360,3.251825799990911,802,1104.5466936215598
SoA heuristic,8400,12600,0.008190700027626008,977,1214.5591733874883
MMG,8400,12600,3.4356250000419095,854,1259.620824723082
SoA heuristic,8600,12900,0.008894799975678325,999,1194.7851614035874
MMG,8600,12900,3.455972100025974,875,1216.7370073793968
SoA heuristic,8000,12000,0.00893559999531135,925,1098.6919450675489
MMG,8000,12000,2.99278760002926,796,1153.7096535597736
SoA heuristic,8020,12030,0.008163199992850423,933,1163.299862342442
MMG,8020,12030,2.8832931999932043,811,1228.1035787642054
SoA heuristic,8040,12060,0.008966099994722754,930,1175.6295135506423
MMG,8040,12060,2.863103899988346,811,1191.871796628837
SoA heuristic,8080,12120,0.009653399989474565,962,1127.7812980568092
MMG,8080,12120,3.22425689996453,826,1151.4552887302348
SoA heuristic,8120,12180,0.008065700007136911,940,1046.4548758936212
MMG,8120,12180,3.0944384000031278,811,1091.821676231511
SoA heuristic,8200,12300,0.04666559997713193,946,1134.578572050806
MMG,8200,12300,2.9315998000092804,813,1128.9420915901194
SoA heuristic,8240,12360,0.009110599989071488,966,1173.4795904247103
MMG,8240,12360,3.1936007000040263,843,1221.6155991084536
SoA heuristic,8400,12600,0.009935999987646937,988,1230.1492224791518
MMG,8400,12600,3.087061400001403,845,1266.6944740439635
SoA heuristic,8600,12900,0.00930889998562634,985,1155.1768033394603
MMG,8600,12900,3.1661558999912813,848,1203.9947119991425
SoA heuristic,8000,12000,0.04272460000356659,925,1141.6761676700073
MMG,8000,12000,2.836985999951139,800,1147.1802733822383
SoA heuristic,8020,12030,0.008843099989462644,930,1152.8708517346763
MMG,8020,12030,2.8544616000144742,812,1207.0336623966155
SoA heuristic,8040,12060,0.011218499974347651,948,1043.8201075958661
MMG,8040,12060,2.786831000004895,800,1092.1428709089612
SoA heuristic,8080,12120,0.008098200021777302,946,1192.0726225182555
MMG,8080,12120,2.9393292000168003,813,1217.0811553375142
SoA heuristic,8120,12180,0.0099222999997437,949,1171.7625871065384
MMG,8120,12180,2.945042100036517,810,1209.659986231657
SoA heuristic,8200,12300,0.0621709999977611,927,1040.0397252310097
MMG,8200,12300,3.3128067000070587,811,1061.5385079486507
SoA heuristic,8240,12360,0.010763999947812408,969,1170.0332964322963
