name,nodes,edges,time,results
Set Cover,20,30,0.0,4
Greedy Approach,20,30,0.0,4
Set Cover,24,36,0.0,5
Greedy Approach,24,36,0.0,5
Set Cover,28,42,0.0,7
Greedy Approach,28,42,0.0,7
Set Cover,32,48,0.0,7
Greedy Approach,32,48,0.0,7
Set Cover,36,54,0.0,9
Greedy Approach,36,54,0.0,9
Set Cover,40,60,0.0,9
Greedy Approach,40,60,0.0,9
Set Cover,44,66,0.0,11
Greedy Approach,44,66,0.0,11
Set Cover,48,72,0.0,10
Greedy Approach,48,72,0.0,10
Set Cover,52,78,0.003991603851318359,10
Greedy Approach,52,78,0.0,10
Set Cover,56,84,0.003952503204345703,13
Greedy Approach,56,84,0.0,13
Set Cover,60,90,0.0,14
Greedy Approach,60,90,0.0,14
Set Cover,64,96,0.0040509700775146484,15
Greedy Approach,64,96,0.0,15
Set Cover,68,102,0.004010200500488281,15
Greedy Approach,68,102,0.0,15
Set Cover,72,108,0.027991056442260742,16
Greedy Approach,72,108,0.0,16
Set Cover,76,114,0.012055635452270508,15
Greedy Approach,76,114,0.0,15
Set Cover,80,120,0.012040376663208008,17
Greedy Approach,80,120,0.0,17
Set Cover,84,126,0.039969444274902344,18
Greedy Approach,84,126,0.0,18
Set Cover,88,132,0.28821659088134766,19
Greedy Approach,88,132,0.0,19
Set Cover,92,138,0.03603792190551758,20
Greedy Approach,92,138,0.0,20
Set Cover,96,144,0.3677525520324707,24
Greedy Approach,96,144,0.0,24
Set Cover,100,150,0.11195611953735352,21
Greedy Approach,100,150,0.0,21
Set Cover,104,156,0.44361138343811035,24
Greedy Approach,104,156,0.0,24
Set Cover,108,162,2.0070295333862305,25
Greedy Approach,108,162,0.0,25
Set Cover,112,168,2.202908992767334,25
Greedy Approach,112,168,0.0,25
Set Cover,116,174,9.511018753051758,25
Greedy Approach,116,174,0.0,25
Set Cover,8,12,0.0,2
Greedy Approach,8,12,0.0,2
Set Cover,12,18,0.0,3
Greedy Approach,12,18,0.0,3
Set Cover,16,24,0.0,4
Greedy Approach,16,24,0.0,4
Set Cover,20,30,0.0,5
Greedy Approach,20,30,0.0,5
Set Cover,24,36,0.0,5
Greedy Approach,24,36,0.0,5
Set Cover,28,42,0.0,6
Greedy Approach,28,42,0.0,6
Set Cover,32,48,0.0,8
Greedy Approach,32,48,0.0,8
Set Cover,36,54,0.0,8
Greedy Approach,36,54,0.0,8
Set Cover,40,60,0.0,9
Greedy Approach,40,60,0.0,9
Set Cover,44,66,0.0,9
Greedy Approach,44,66,0.0,9
Set Cover,48,72,0.0,11
Greedy Approach,48,72,0.0,11
Set Cover,52,78,0.003930091857910156,10
Greedy Approach,52,78,0.0,10
Set Cover,56,84,0.004041433334350586,12
Greedy Approach,56,84,0.0,12
Set Cover,60,90,0.004002809524536133,13
Greedy Approach,60,90,0.0,13
Set Cover,64,96,0.0,14
Greedy Approach,64,96,0.0,14
Set Cover,68,102,0.008034467697143555,16
Greedy Approach,68,102,0.0,16
Set Cover,72,108,0.0,15
Greedy Approach,72,108,0.0,15
Set Cover,76,114,0.028026342391967773,16
Greedy Approach,76,114,0.0,16
Set Cover,80,120,0.015973329544067383,18
Greedy Approach,80,120,0.0,18
Set Cover,84,126,0.03201794624328613,17
Greedy Approach,84,126,0.0,17
Set Cover,88,132,0.09992003440856934,20
Greedy Approach,88,132,0.0,20
Set Cover,92,138,0.11595273017883301,21
Greedy Approach,92,138,0.0,21
Set Cover,96,144,0.1894664764404297,21
Greedy Approach,96,144,0.0,21
Set Cover,100,150,1.4627912044525146,20
Greedy Approach,100,150,0.0,20
Set Cover,104,156,0.18001866340637207,22
Greedy Approach,104,156,0.0,22
Set Cover,108,162,0.4756507873535156,22
Greedy Approach,108,162,0.0,22
Set Cover,112,168,0.823566198348999,23
Greedy Approach,112,168,0.0,23
Set Cover,116,174,2.2876627445220947,24
Greedy Approach,116,174,0.0,24
Set Cover,8,12,0.0,2
Greedy Approach,8,12,0.0,2
Set Cover,12,18,0.0,3
Greedy Approach,12,18,0.0,3
Set Cover,16,24,0.0,4
Greedy Approach,16,24,0.0,4
Set Cover,20,30,0.0,4
Greedy Approach,20,30,0.0,4
Set Cover,24,36,0.0,4
Greedy Approach,24,36,0.0,4
Set Cover,28,42,0.0,5
Greedy Approach,28,42,0.0,5
Set Cover,32,48,0.0,7
Greedy Approach,32,48,0.0,7
Set Cover,36,54,0.0,8
Greedy Approach,36,54,0.0,8
Set Cover,40,60,0.0,9
Greedy Approach,40,60,0.0,9
Set Cover,44,66,0.0,10
Greedy Approach,44,66,0.0,10
Set Cover,48,72,0.0,11
Greedy Approach,48,72,0.0,11
Set Cover,52,78,0.0,12
Greedy Approach,52,78,0.0,12
Set Cover,56,84,0.0,13
Greedy Approach,56,84,0.0,13
Set Cover,60,90,0.0,14
Greedy Approach,60,90,0.0,14
Set Cover,64,96,0.0,14
Greedy Approach,64,96,0.0,14
Set Cover,68,102,0.003965854644775391,17
Greedy Approach,68,102,0.0,17
Set Cover,72,108,0.023951292037963867,16
Greedy Approach,72,108,0.0,16
Set Cover,76,114,0.02800726890563965,16
Greedy Approach,76,114,0.0,16
Set Cover,80,120,0.03197765350341797,19
Greedy Approach,80,120,0.0,19
Set Cover,84,126,0.04795694351196289,19
Greedy Approach,84,126,0.0,19
Set Cover,88,132,0.12380313873291016,19
Greedy Approach,88,132,0.0,19
Set Cover,92,138,0.08391880989074707,21
Greedy Approach,92,138,0.0,21
Set Cover,96,144,0.07191753387451172,21
Greedy Approach,96,144,0.0,21
Set Cover,100,150,0.30814051628112793,20
Greedy Approach,100,150,0.0,20
Set Cover,104,156,0.8409078121185303,26
Greedy Approach,104,156,0.0,26
Set Cover,108,162,0.7793664932250977,25
Greedy Approach,108,162,0.0,25
Set Cover,112,168,0.29975104331970215,24
Greedy Approach,112,168,0.0,24
Set Cover,116,174,5.62133264541626,26
Greedy Approach,116,174,0.0,26
