name,nodes,edges,density,time,result_set,result_w
SoA heuristic,4000,6000,0.00037509377344336085,0.007443200098350644,458,577.2659997936535
MMG,4000,6000,0.00037509377344336085,0.7482384999748319,381,557.9024727525759
SoA heuristic,4020,6030,0.0003732271709380443,0.0031555998139083385,484,593.3008533272571
MMG,4020,6030,0.0003732271709380443,0.7699148999527097,413,650.2838838310471
SoA heuristic,4040,6060,0.0003713790542213419,0.007764399982988834,465,553.657358271051
MMG,4040,6060,0.0003713790542213419,0.7977233999408782,403,554.5050675034946
SoA heuristic,4080,6120,0.00036773719048786466,0.0037510001566261053,470,561.0495772646808
MMG,4080,6120,0.00036773719048786466,0.9004236001055688,412,566.8747636531701
SoA heuristic,4120,6180,0.0003641660597232338,0.003242200007662177,478,572.574212451355
MMG,4120,6180,0.0003641660597232338,0.8254593999590725,407,602.8357272057686
SoA heuristic,4200,6300,0.00035722791140747797,0.008152600144967437,483,611.6466724491775
MMG,4200,6300,0.00035722791140747797,0.9295369000174105,418,611.962497147732
SoA heuristic,4240,6360,0.00035385704175513094,0.0039629999082535505,491,620.6548150202075
MMG,4240,6360,0.00035385704175513094,0.8455173999536783,432,681.1977674790171
SoA heuristic,4400,6600,0.0003409865878608775,0.0035673000384122133,500,646.43542531071
MMG,4400,6600,0.0003409865878608775,0.9705467999447137,441,662.7386151248513
SoA heuristic,4600,6900,0.00032615786040443573,0.03074329998344183,540,598.4631865219676
MMG,4600,6900,0.00032615786040443573,1.0495027999859303,464,627.2093680968601
SoA heuristic,4000,6000,0.00037509377344336085,0.010800400050356984,481,578.0434425286761
MMG,4000,6000,0.00037509377344336085,0.7258792000357062,394,591.1307652514602
SoA heuristic,4020,6030,0.0003732271709380443,0.009984700009226799,459,568.5803194534521
MMG,4020,6030,0.0003732271709380443,0.7688660998828709,393,559.7971050968032
SoA heuristic,4040,6060,0.0003713790542213419,0.0033027001190930605,476,551.9743616640485
MMG,4040,6060,0.0003713790542213419,0.7182348999194801,405,580.5650327364787
SoA heuristic,4080,6120,0.00036773719048786466,0.0034305998124182224,488,564.4662756636106
MMG,4080,6120,0.00036773719048786466,0.8830059999600053,420,563.726082356599
SoA heuristic,4120,6180,0.0003641660597232338,0.03071700013242662,478,540.6804342884833
MMG,4120,6180,0.0003641660597232338,0.8967858999967575,413,535.7755068084773
SoA heuristic,4200,6300,0.00035722791140747797,0.012276099994778633,473,519.4224607707434
MMG,4200,6300,0.00035722791140747797,0.8433315001893789,403,557.4809891539409
SoA heuristic,4240,6360,0.00035385704175513094,0.00424589985050261,508,596.4214295958491
MMG,4240,6360,0.00035385704175513094,0.8402744999621063,430,613.1237672836625
SoA heuristic,4400,6600,0.0003409865878608775,0.004442499950528145,496,585.903266832608
MMG,4400,6600,0.0003409865878608775,1.0042790998704731,429,603.8478633061809
SoA heuristic,4600,6900,0.00032615786040443573,0.004385300213471055,533,622.7348092631163
MMG,4600,6900,0.00032615786040443573,0.9698363000061363,467,676.1358948358759
SoA heuristic,4000,6000,0.00037509377344336085,0.003137199906632304,481,586.7223583427383
MMG,4000,6000,0.00037509377344336085,0.8124406000133604,403,582.8371479868695
SoA heuristic,4020,6030,0.0003732271709380443,0.003289500018581748,470,579.0753230565437
MMG,4020,6030,0.0003732271709380443,0.7213657998945564,397,577.5245659982818
SoA heuristic,4040,6060,0.0003713790542213419,0.003750600153580308,471,516.5435221139059
MMG,4040,6060,0.0003713790542213419,0.8315504000056535,407,529.836393003035
SoA heuristic,4080,6120,0.00036773719048786466,0.011225800029933453,466,527.6669582015376
MMG,4080,6120,0.00036773719048786466,0.7841291001532227,416,572.2625671366153
SoA heuristic,4120,6180,0.0003641660597232338,0.006759800016880035,483,592.9532813610908
MMG,4120,6180,0.0003641660597232338,0.7063723998144269,421,601.6939608542557
SoA heuristic,4200,6300,0.00035722791140747797,0.003933100029826164,479,586.4185245580268
MMG,4200,6300,0.00035722791140747797,0.9373309998773038,422,602.9529575147582
SoA heuristic,4240,6360,0.00035385704175513094,0.0036262001376599073,491,583.1049035462374
MMG,4240,6360,0.00035385704175513094,0.8599260000046343,415,574.0413027679122
SoA heuristic,4400,6600,0.0003409865878608775,0.004167199833318591,507,605.1745300139272
MMG,4400,6600,0.0003409865878608775,0.8749000998213887,428,602.4073688799103
SoA heuristic,4600,6900,0.00032615786040443573,0.00380800012499094,525,628.653381508932
MMG,4600,6900,0.00032615786040443573,0.9577918997965753,448,624.2371541215385
SoA heuristic,4000,6000,0.00037509377344336085,0.004336100071668625,453,447.02272712990936
MMG,4000,6000,0.00037509377344336085,0.7278182001318783,399,453.7081815952515
SoA heuristic,4020,6030,0.0003732271709380443,0.009609299944713712,464,541.5268031885686
MMG,4020,6030,0.0003732271709380443,0.7881119998637587,400,554.7050177676053
SoA heuristic,4040,6060,0.0003713790542213419,0.003781599923968315,480,554.4653551896963
MMG,4040,6060,0.0003713790542213419,0.871581899933517,407,573.2551292083931
SoA heuristic,4080,6120,0.00036773719048786466,0.008054600097239017,471,564.1515098948054
MMG,4080,6120,0.00036773719048786466,0.8096209999639541,403,583.8707175725071
SoA heuristic,4120,6180,0.0003641660597232338,0.05758240004070103,472,519.1495646867266
MMG,4120,6180,0.0003641660597232338,0.7740623001009226,407,509.60884817924637
SoA heuristic,4200,6300,0.00035722791140747797,0.011134000029414892,481,574.1518691054323
MMG,4200,6300,0.00035722791140747797,0.8196729000192136,419,575.241393030919
SoA heuristic,4240,6360,0.00035385704175513094,0.003319100011140108,476,504.56111875542086
MMG,4240,6360,0.00035385704175513094,0.882895200047642,413,515.9460392803725
SoA heuristic,4400,6600,0.0003409865878608775,0.008399999933317304,496,630.1170506077514
MMG,4400,6600,0.0003409865878608775,0.9629774999339134,420,631.8941766023192
SoA heuristic,4600,6900,0.00032615786040443573,0.04031449998728931,518,539.0594855331954
MMG,4600,6900,0.00032615786040443573,1.0478942000772804,440,547.229612387346
SoA heuristic,4000,6000,0.00037509377344336085,0.004314299905672669,450,527.7053112136651
MMG,4000,6000,0.00037509377344336085,0.6949616998899728,386,553.46149616825
SoA heuristic,4020,6030,0.0003732271709380443,0.003740300191566348,453,527.621806232763
MMG,4020,6030,0.0003732271709380443,0.7664121999405324,383,542.9604380042526
SoA heuristic,4040,6060,0.0003713790542213419,0.00322519987821579,462,562.3558812577559
MMG,4040,6060,0.0003713790542213419,0.7970875999890268,379,605.0242242918439
SoA heuristic,4080,6120,0.00036773719048786466,0.0032852001022547483,452,491.0639358698228
MMG,4080,6120,0.00036773719048786466,0.7432467001490295,402,506.3184544725086
SoA heuristic,4120,6180,0.0003641660597232338,0.003302300116047263,497,602.2718484594856
MMG,4120,6180,0.0003641660597232338,0.8270493999589235,420,608.818655268874
SoA heuristic,4200,6300,0.00035722791140747797,0.003254600102081895,489,597.1370141022599
MMG,4200,6300,0.00035722791140747797,0.7878354000858963,419,602.5919013387991
SoA heuristic,4240,6360,0.00035385704175513094,0.004026300041005015,500,561.0397085723001
MMG,4240,6360,0.00035385704175513094,0.8521871999837458,434,562.4059047717182
SoA heuristic,4400,6600,0.0003409865878608775,0.0035031000152230263,518,588.8901102555261
MMG,4400,6600,0.0003409865878608775,0.9115096998866647,441,613.3086349854674
SoA heuristic,4600,6900,0.00032615786040443573,0.004347600042819977,533,666.2038217272631
MMG,4600,6900,0.00032615786040443573,0.9788070998620242,453,673.6615617045297
SoA heuristic,4000,6000,0.00037509377344336085,0.003182099899277091,467,537.50503995269
MMG,4000,6000,0.00037509377344336085,0.8460689000785351,397,555.9823567765526
SoA heuristic,4020,6030,0.0003732271709380443,0.003163200104609132,456,533.0478561083846
MMG,4020,6030,0.0003732271709380443,0.756341699976474,391,528.110266514186
SoA heuristic,4040,6060,0.0003713790542213419,0.0032532999757677317,478,594.6690773661098
MMG,4040,6060,0.0003713790542213419,0.7858138999436051,410,596.860880302155
SoA heuristic,4080,6120,0.00036773719048786466,0.004165099933743477,466,525.1395637313868
MMG,4080,6120,0.00036773719048786466,0.7569510999601334,405,530.4807055936625
SoA heuristic,4120,6180,0.0003641660597232338,0.003244000021368265,484,542.1938538007356
MMG,4120,6180,0.0003641660597232338,0.8500381000339985,422,562.9481665603647
